user_id,daily_active_minutes,posts_per_week,stories_per_week,avg_likes_received,avg_comments_received,profile_completeness_percent,friends_count,groups_joined,events_rsvp,pages_liked,ads_clicked_per_month,account_age_days,login_streak_days,device_type,country
USR000000,31.3,9.3,12.8,0.6,5.4,66.4,21,29,21,424,38,1125,283,Mobile,UK
USR000001,35.2,1.1,46.2,45.0,2.4,81.3,403,19,35,85,2,2051,89,Desktop,Australia
USR000002,15.2,1.5,17.2,15.0,14.2,24.2,245,21,9,404,43,3209,121,Mobile,USA
USR000003,75.2,5.2,12.7,14.1,3.1,70.3,46,36,60,252,17,990,275,Mobile,Brazil
USR000004,12.2,1.1,3.2,47.5,15.2,37.3,32,14,76,453,25,3489,83,Tablet,India
USR000005,6.0,3.6,7.3,81.2,0.9,33.5,1038,13,64,374,51,431,55,Mobile,India
USR000006,70.8,3.9,6.6,87.6,4.2,52.1,664,5,94,493,73,947,353,Mobile,USA
USR000007,40.3,3.1,2.6,9.8,10.0,39.4,149,26,19,184,56,317,21,Tablet,Japan
USR000008,16.1,3.6,11.1,5.0,19.6,72.1,6,39,26,82,55,1348,172,Desktop,Japan
USR000009,21.3,6.1,7.3,84.2,1.6,86.8,224,31,17,156,76,2485,350,Mobile,Brazil
USR000010,21.8,0.1,1.6,159.9,0.1,26.4,440,35,52,184,94,3275,130,Mobile,Brazil
USR000011,73.7,10.9,1.3,1.1,43.1,42.6,164,33,4,171,65,3192,274,Mobile,USA
USR000012,33.7,0.3,2.0,9.5,1.0,53.5,3,4,98,63,98,896,258,Mobile,USA
USR000013,50.2,1.1,5.2,6.0,8.6,87.0,342,18,48,235,13,588,101,Mobile,Brazil
USR000014,2.0,8.7,0.5,30.4,20.8,63.1,88,34,83,342,77,246,328,Mobile,Germany
USR000015,38.7,0.1,0.3,81.1,44.4,67.8,0,45,69,300,40,53,280,Mobile,Japan
USR000016,156.0,3.4,4.0,423.3,6.1,55.1,47,8,28,122,33,3059,223,Desktop,Brazil
USR000017,44.6,0.4,2.9,72.5,12.5,50.7,162,45,56,325,92,3536,203,Mobile,Brazil
USR000018,25.9,12.2,30.8,67.5,4.3,73.8,513,5,22,427,86,2831,14,Desktop,Germany
USR000019,5.5,4.9,2.8,48.9,3.1,43.5,23,24,26,442,16,3225,280,Mobile,Brazil
USR000020,38.9,0.6,10.7,2.0,2.7,57.5,407,48,22,304,16,2928,262,Mobile,Brazil
USR000021,132.1,5.0,2.1,49.5,1.4,45.2,257,34,41,439,94,2464,271,Mobile,UK
USR000022,15.2,2.2,0.3,5.9,13.0,68.8,191,40,2,451,75,1581,199,Mobile,Japan
USR000023,6.1,5.1,3.0,2.0,4.5,49.3,14,40,80,469,26,3284,214,Mobile,UK
USR000024,8.1,3.0,12.5,53.3,6.5,63.4,15,28,39,63,81,1752,71,Mobile,Japan
USR000025,8.8,2.7,7.3,39.1,1.6,21.0,329,12,12,255,57,1211,171,Mobile,Germany
USR000026,60.9,18.5,7.1,163.5,19.6,86.6,193,36,95,28,41,1952,135,Desktop,Australia
USR000027,41.2,6.8,11.5,10.6,1.0,51.8,52,9,97,481,76,209,166,Mobile,USA
USR000028,23.8,4.5,2.4,8.9,3.8,89.4,102,16,91,307,90,88,208,Mobile,USA
USR000029,94.4,1.6,5.0,6.1,2.4,43.0,14,24,68,349,53,3565,307,Mobile,USA
USR000030,95.9,2.1,4.3,69.4,0.8,79.6,263,15,91,483,69,1194,264,Desktop,Japan
USR000031,12.3,24.4,4.6,14.7,1.0,25.2,378,2,83,100,44,270,311,Mobile,Australia
USR000032,44.7,2.9,4.1,16.9,6.9,77.5,196,24,47,252,82,3009,59,Mobile,Japan
USR000033,47.3,3.7,3.9,5.3,1.0,61.7,202,4,72,478,20,537,244,Mobile,UK
USR000034,73.2,0.2,3.7,28.9,45.7,48.8,182,0,65,52,76,652,142,Mobile,Brazil
USR000035,115.7,5.7,11.7,20.7,9.0,88.8,274,22,85,17,79,2577,301,Tablet,Japan
USR000036,2.6,16.6,2.1,40.6,12.0,84.5,49,30,79,405,44,311,336,Mobile,Brazil
USR000037,119.5,7.0,17.1,92.3,29.1,84.0,949,31,61,164,61,3303,28,Mobile,Brazil
USR000038,43.0,6.8,1.9,64.5,2.2,77.1,297,41,46,209,87,1681,220,Mobile,Brazil
USR000039,183.5,5.3,5.7,9.6,4.4,74.1,168,33,65,110,80,902,127,Tablet,Brazil
USR000040,99.1,7.4,1.6,125.3,15.0,81.2,17,19,34,75,47,1252,90,Desktop,UK
USR000041,6.7,2.3,9.9,80.6,35.3,92.4,241,49,34,315,6,3585,327,Mobile,Japan
USR000042,20.0,1.8,2.5,18.5,41.1,51.7,577,10,53,93,82,3615,93,Mobile,Brazil
USR000043,10.4,2.4,16.7,66.8,65.5,97.4,44,18,95,156,91,3042,35,Tablet,UK
USR000044,11.0,4.0,28.8,0.2,1.5,41.1,422,37,31,301,4,2036,157,Mobile,India
USR000045,1.0,4.3,2.3,111.3,10.8,23.3,104,21,15,356,71,298,145,Mobile,Australia
USR000046,121.0,0.5,1.2,21.9,2.8,84.1,740,3,56,124,61,2201,342,Desktop,Japan
USR000047,93.0,2.5,5.3,8.3,9.0,86.4,92,6,7,481,4,2082,232,Mobile,India
USR000048,8.3,16.0,6.2,73.4,3.7,70.6,167,45,84,127,31,1725,34,Mobile,Australia
USR000049,133.7,1.8,2.2,1.4,2.5,98.5,165,20,88,92,47,2574,127,Mobile,UK
USR000050,84.1,5.9,14.6,48.0,11.3,67.5,124,23,46,401,77,1928,265,Mobile,India
USR000051,114.2,0.9,1.6,15.8,40.3,26.6,328,23,61,290,59,2147,265,Tablet,USA
USR000052,30.7,7.9,5.9,121.0,3.3,74.0,109,49,39,256,43,407,223,Mobile,Australia
USR000053,49.4,4.8,0.3,96.6,8.9,89.8,77,14,30,198,70,1582,124,Mobile,India
USR000054,150.4,1.6,7.8,8.0,2.8,65.9,297,32,25,404,19,2944,37,Mobile,Germany
USR000055,64.0,4.3,3.3,77.9,18.9,72.9,42,33,61,309,38,3334,254,Mobile,Brazil
USR000056,156.6,0.8,8.5,14.5,8.9,51.0,93,23,55,45,0,2328,96,Mobile,India
USR000057,113.4,0.3,2.3,33.0,1.0,43.4,21,37,4,157,53,2336,211,Mobile,USA
USR000058,59.5,16.4,5.8,98.7,0.4,58.6,304,36,84,440,63,2551,360,Desktop,India
USR000059,51.2,3.8,2.5,9.1,7.9,81.2,10,6,35,469,89,2720,364,Mobile,UK
USR000060,6.6,7.0,6.5,59.0,15.7,51.4,537,38,58,98,83,3166,137,Desktop,India
USR000061,14.4,3.7,12.5,34.8,29.1,69.5,56,22,30,113,97,1835,304,Mobile,UK
USR000062,38.3,6.6,13.1,131.7,16.3,87.3,57,28,48,250,52,1715,221,Tablet,Brazil
USR000063,111.7,10.9,4.3,109.3,44.0,24.3,482,12,21,464,79,619,9,Mobile,India
USR000064,40.3,0.1,5.9,25.1,18.2,24.7,672,30,70,152,0,1222,160,Mobile,USA
USR000065,89.3,1.2,0.8,23.2,8.6,62.8,116,42,12,94,61,2246,170,Desktop,Australia
USR000066,136.0,3.0,16.5,5.4,52.2,40.8,225,11,20,283,53,1244,170,Mobile,Australia
USR000067,7.9,0.5,12.9,9.3,8.4,56.5,251,38,77,155,22,130,192,Mobile,Australia
USR000068,72.3,0.0,7.7,63.4,4.3,34.1,82,42,12,119,61,417,349,Mobile,Australia
USR000069,14.4,0.2,13.0,108.3,5.6,31.0,32,32,11,88,83,2201,342,Mobile,UK
USR000070,74.2,3.2,1.5,65.1,41.2,74.9,82,22,93,430,8,428,108,Mobile,UK
USR000071,15.9,13.9,2.5,133.7,3.7,79.5,309,11,45,17,21,2402,194,Desktop,Brazil
USR000072,138.4,2.8,9.0,14.2,58.9,54.8,23,43,54,290,5,1224,36,Mobile,USA
USR000073,42.6,14.3,3.5,93.8,1.8,21.7,52,5,67,89,15,2844,48,Mobile,Germany
USR000074,3.6,1.5,1.7,93.2,8.3,35.9,29,36,52,161,69,2001,87,Desktop,Japan
USR000075,12.7,2.9,4.0,35.2,1.2,46.3,443,18,31,265,5,3302,162,Mobile,Australia
USR000076,1.8,2.7,1.2,54.5,3.6,82.5,16,9,32,309,70,600,339,Mobile,Germany
USR000077,104.1,2.6,5.0,15.0,1.9,36.6,124,40,68,337,82,924,74,Desktop,USA
USR000078,34.4,7.2,3.2,4.1,10.7,73.1,70,41,18,294,24,2482,60,Mobile,India
USR000079,53.1,1.4,3.2,23.6,0.0,24.2,479,47,57,308,81,1836,149,Mobile,Germany
USR000080,141.7,2.5,10.8,40.4,24.9,53.4,190,17,4,48,44,2645,287,Mobile,India
USR000081,70.7,9.6,5.9,24.2,1.9,49.4,257,24,68,161,83,2891,258,Desktop,USA
USR000082,8.3,5.5,13.6,95.3,2.8,31.2,623,5,80,251,83,3257,101,Desktop,UK
USR000083,203.7,6.3,5.5,19.9,20.1,77.9,113,10,72,175,8,1685,207,Mobile,UK
USR000084,87.5,0.0,3.5,50.2,6.5,96.9,270,22,83,43,74,3004,208,Tablet,Brazil
USR000085,24.6,1.2,3.0,109.5,21.6,77.6,137,8,65,370,95,3372,216,Desktop,Australia
USR000086,2.2,11.9,3.1,27.9,24.3,63.3,217,24,68,99,9,181,212,Desktop,Germany
USR000087,6.4,2.1,20.0,142.8,33.5,53.0,177,33,27,143,19,1147,240,Mobile,UK
USR000088,13.3,0.9,0.6,11.3,6.4,66.2,402,18,75,53,84,1788,106,Desktop,USA
USR000089,61.3,5.2,4.0,176.4,13.6,25.6,60,45,88,272,71,986,98,Desktop,USA
USR000090,25.9,4.7,6.0,3.4,2.9,47.6,95,4,66,365,20,2629,257,Desktop,Japan
