movie_id,budget_usd,marketing_spend_usd,runtime_minutes,num_screens,director_previous_hits,lead_actor_popularity_score,pre_release_imdb_score,release_month,sequel_flag,genre,language,age_rating,opening_weekend_screens,social_media_buzz_score,box_office_revenue_usd
MOV00000,57755036,28232982,175,2164,13,5.77,4.2,1,1,Comedy,English,G,1295,48.88,232280949
MOV00001,192100010,90171877,145,1411,2,2.49,6.6,11,0,Action,French,G,1122,75.73,583323129
MOV00002,128521863,70234922,97,1293,3,9.44,4.7,5,0,Comedy,Hindi,R,1156,4.12,435550000
MOV00003,156299516,50636638,144,2596,8,9.82,5.9,12,0,Horror,Spanish,PG,2209,23.79,457463479
MOV00004,148532820,54249621,153,3997,12,9.31,5.5,4,1,Drama,English,G,3175,11.45,482372965
MOV00005,134224038,41325857,153,3513,14,8.84,9.4,11,0,Action,Spanish,PG-13,2512,35.43,394516267
MOV00006,36788921,19321116,114,858,8,1.7,7.6,1,0,Drama,Spanish,PG-13,766,74.65,134551922
MOV00007,134120466,28815937,172,2789,9,8.69,6.3,10,1,Drama,English,R,1590,14.96,373317072
MOV00008,161953558,35606224,88,2357,12,9.58,8.8,1,0,Drama,Hindi,G,1467,41.92,422990554
MOV00009,94410762,27030042,103,1576,8,5.97,4.4,5,0,Comedy,Hindi,G,1409,20.41,270803739
MOV00010,92090292,19815198,90,2300,9,7.95,5.8,12,1,Horror,Korean,G,1473,23.46,266693249
MOV00011,166850211,63487075,167,3640,5,6.95,6.8,12,0,Horror,English,PG-13,2071,5.83,497586341
MOV00012,77737383,13001192,161,2075,0,3.59,4.3,9,1,Thriller,English,PG,1912,51.29,201151692
MOV00013,89358551,23241543,84,2219,7,6.29,4.8,1,0,Romance,Korean,G,1962,17.44,254242355
MOV00014,112190146,62458761,121,2168,12,9.0,8.9,8,0,Thriller,Hindi,R,1776,31.52,400918336
MOV00015,89409749,27235348,78,2603,8,5.47,5.0,9,0,Thriller,English,PG,2155,36.42,265762834
MOV00016,140199233,66470819,86,1378,14,6.31,9.1,11,0,Comedy,English,PG,1146,23.53,444670051
MOV00017,149171095,23379749,116,4027,7,5.78,4.5,11,0,Sci-Fi,Spanish,R,3484,48.33,378308553
MOV00018,86652971,19391397,172,2802,14,3.54,8.9,10,1,Action,Spanish,PG-13,1842,9.75,259534488
MOV00019,5521373,2780965,78,504,12,6.79,6.5,4,0,Romance,Hindi,G,470,71.0,45963545
MOV00020,107683173,51849067,158,2104,0,5.59,7.2,8,0,Action,Spanish,R,1325,29.87,350680281
MOV00021,4344769,1273356,166,1575,11,3.09,5.5,1,0,Comedy,Spanish,R,1113,51.62,37057036
MOV00022,107328085,61949604,166,828,5,9.06,5.5,4,1,Drama,Hindi,R,625,12.37,390219805
