temperature_celsius,rainfall_mm,soil_type,crop_variety,season,irrigation_type,region,fertilizer_kg_per_acre,sunlight_hours,crop_yield_ton_per_acre
33.37,905.26,Clay,Rice,Zaid,Drip,East,187.06,6.03,12.909
33.45,312.08,Silty,Wheat,Kharif,Flood,East,93.06,8.18,7.968
27.8,889.35,Loamy,Wheat,Zaid,Sprinkler,South,109.03,6.65,9.674
18.02,1166.72,Silty,Rice,Rabi,Sprinkler,North,195.19,10.8,14.777
34.67,420.34,Peaty,Wheat,Zaid,Flood,East,45.4,10.14,10.764
36.71,879.66,Loamy,Wheat,Kharif,Sprinkler,East,18.13,5.66,9.136
17.72,1037.38,Loamy,Maize,Zaid,Sprinkler,East,15.54,8.06,7.99
17.69,1111.42,Clay,Rice,Rabi,Drip,South,184.44,11.47,14.083
37.76,895.74,Sandy,Sorghum,Zaid,Sprinkler,West,94.5,6.17,9.549
18.4,594.59,Loamy,Sorghum,Rabi,Flood,East,19.78,9.42,7.586
25.61,848.62,Loamy,Wheat,Zaid,Rainfed,West,93.65,10.84,11.251
18.19,762.05,Silty,Maize,Zaid,Flood,West,79.2,10.14,10.063
17.07,997.79,Sandy,Rice,Kharif,Drip,North,85.06,11.18,10.615
16.35,340.24,Clay,Wheat,Rabi,Flood,North,177.23,7.07,10.649
23.79,1297.23,Sandy,Barley,Rabi,Flood,West,118.03,9.51,12.277
18.72,1359.35,Peaty,Rice,Zaid,Flood,North,15.92,8.71,12.248
38.07,952.03,Sandy,Rice,Zaid,Flood,South,172.59,5.08,13.239
35.24,523.62,Loamy,Rice,Rabi,Drip,North,141.97,6.95,9.186
37.94,743.37,Peaty,Wheat,Zaid,Rainfed,West,22.29,10.01,10.627
31.78,445.8,Clay,Maize,Zaid,Rainfed,South,87.03,5.16,8.374
35.01,538.16,Loamy,Rice,Zaid,Sprinkler,Central,78.55,9.76,9.584
31.95,584.8,Peaty,Sorghum,Kharif,Drip,East,44.78,11.42,8.99
19.13,871.21,Sandy,Maize,Kharif,Sprinkler,South,111.37,11.34,11.407
28.67,1313.0,Loamy,Barley,Kharif,Rainfed,North,53.33,5.38,11.422
15.8,1445.08,Peaty,Sorghum,Rabi,Drip,East,160.87,7.63,13.339
29.72,1187.53,Clay,Wheat,Rabi,Rainfed,East,43.4,4.96,10.508
