drug_dosage_mg,recovery_days
50.53,12.94
27.2,17.43
7.58,27.69
47.51,13.89
85.09,17.72
24.75,18.74
27.84,14.87
99.95,29.86
56.08,10.52
24.98,18.56
54.91,12.17
81.13,18.85
37.93,16.26
47.27,16.65
33.57,13.1
61.64,12.91
16.72,25.17
84.23,17.46
77.92,16.52
40.3,15.66
50.93,14.11
45.14,12.93
29.89,17.27
64.98,10.92
12.95,24.12
88.75,26.78
48.02,11.86
66.9,13.12
80.09,16.76
61.94,15.13
41.12,13.66
50.5,12.13
17.13,20.9
61.5,12.55
14.2,25.23
40.5,11.63
63.45,11.86
22.14,21.07
62.36,15.49
67.21,11.2
17.58,26.15
6.99,31.87
61.03,13.31
88.15,21.45
68.64,15.13
23.68,15.39
49.73,11.8
23.02,18.49
86.84,21.85
60.42,15.88
10.04,27.56
40.34,11.79
81.2,16.16
13.83,20.04
14.31,24.93
59.47,10.23
21.05,21.42
64.8,14.19
51.5,14.15
28.51,21.13
76.92,17.41
84.5,20.14
13.44,26.86
14.2,26.68
80.2,20.08
24.43,19.63
95.4,27.83
69.69,13.09
76.23,17.88
36.59,14.88
12.84,26.75
54.37,9.74
17.15,23.42
89.43,22.51
95.5,28.42
23.14,21.14
80.86,18.74
10.4,26.11
45.64,11.29
43.52,13.85
42.61,13.79
81.86,18.87
59.35,13.52
24.05,21.51
80.93,14.22
19.42,23.28
84.54,22.93
95.95,25.37
54.57,13.43
27.0,17.43
33.93,16.25
5.85,29.51
90.08,25.88
81.99,18.67
6.6,33.63
60.34,9.93
43.52,13.19
84.26,18.57
27.15,15.58
46.77,13.63
19.7,25.96
50.01,13.02
78.98,17.83
80.97,19.42
78.45,17.92
27.93,18.32
78.17,17.44
41.08,15.3
30.99,16.54
19.58,21.49
82.66,24.34
42.16,12.75
34.22,18.03
6.18,29.86
11.43,27.2
84.29,20.99
78.15,16.49
61.08,14.67
94.93,26.6
23.51,19.97
52.28,10.22
97.43,33.5
35.48,14.96
34.78,13.61
54.35,14.06
14.51,24.57
86.58,22.16
7.61,29.41
75.0,13.39
41.13,14.5
93.96,26.27
15.24,21.82
84.15,20.89
66.69,13.94
49.4,12.1
10.45,25.71
31.05,18.05
5.75,28.94
50.51,12.54
71.96,15.16
42.31,16.12
51.66,13.52
96.71,26.9
86.48,25.3
21.84,24.34
69.19,18.24
96.98,26.12
31.09,17.38
89.25,19.12
29.8,16.24
35.47,17.18
71.8,14.45
88.05,21.45
76.94,15.81
38.09,14.18
10.15,23.6
71.59,14.02
41.4,17.71
17.39,26.93
17.39,23.68
14.36,24.15
38.03,13.77
63.94,15.37
23.72,20.39
67.16,12.7
38.31,12.07
51.49,11.99
94.75,27.72
33.85,12.33
15.7,21.92
15.28,25.34
99.82,30.17
45.5,11.53
41.62,12.44
39.57,14.87
48.91,13.56
50.39,9.93
38.5,16.14
18.78,23.29
71.98,15.28
99.65,26.87
39.29,9.51
81.34,18.71
5.63,31.72
87.1,22.19
71.06,16.87
33.78,15.99
86.92,21.17
63.59,14.48
9.83,29.4
33.22,13.73
8.84,30.49
42.35,13.98
22.34,19.61
70.16,17.15
10.71,26.31
70.23,15.87
56.56,15.98
33.65,16.12
32.33,14.26
13.53,26.52
53.35,10.56
79.03,20.65
44.8,13.21
31.14,18.26
50.73,10.84
68.39,13.68
87.11,24.49
47.11,15.91
57.6,10.23
10.33,26.18
47.93,11.48
92.0,21.22
53.07,11.74
37.84,15.15
31.49,16.13
18.17,23.68
65.73,15.88
11.7,28.34
49.49,14.36
80.79,19.25
80.99,16.36
76.72,14.75
28.28,18.05
19.93,19.18
56.78,14.09
64.06,12.93
93.38,25.03
27.64,13.09
29.43,19.14
53.33,13.72
78.98,16.01
44.02,13.29
50.02,13.75
91.9,19.96
32.91,14.11
52.78,14.71
85.77,18.88
49.33,11.17
76.74,21.07
75.85,14.55
76.3,18.96
85.78,20.46
45.41,9.46
52.36,10.97
72.83,15.41
32.1,16.07
33.3,16.2
15.36,21.02
41.93,13.37
75.92,19.34
21.68,18.25
77.14,14.81
10.8,29.95
99.2,30.04
21.75,17.25
93.55,23.58
32.67,14.2
14.16,25.41
32.45,17.08
23.8,20.89
81.17,20.9
41.52,14.78
25.27,19.21
32.26,17.48
36.61,12.55
82.35,22.55
26.01,18.2
68.56,14.46
73.57,17.07
29.01,14.21
80.25,17.15
92.38,24.96
67.76,13.1
30.69,14.92
92.94,24.67
41.37,15.11
43.76,16.83
57.95,14.08
20.67,23.32
67.36,15.81
26.99,21.31
83.41,21.79
44.86,7.35
23.37,21.23
85.43,20.82
92.67,26.15
31.8,16.88
13.4,24.1
12.11,28.28
48.79,14.27
34.45,15.16
52.08,11.15
90.22,21.5
80.81,19.53
22.95,23.13
17.28,20.72
10.65,26.92
16.47,23.9
17.76,23.72
66.81,16.34
36.53,16.49
65.27,11.76
47.23,11.32
20.69,23.97
18.28,22.36
63.79,11.37
86.69,22.22
25.44,19.81
45.92,15.65
85.43,22.28
41.67,14.61
22.06,19.83
11.35,24.94
29.72,14.74
13.88,26.36
92.42,24.8
12.52,23.45
77.44,16.61
58.43,13.13
39.39,14.41
30.47,13.81
10.23,30.67
25.43,15.92
47.65,15.07
99.58,27.05
79.16,17.43
14.61,26.7
86.1,22.73
31.06,17.18
47.95,12.64
18.67,21.28
22.17,21.12
79.21,21.14
23.61,18.5
60.63,7.81
66.83,15.84
83.25,22.53
61.27,12.07
67.82,13.27
5.14,33.67
69.37,16.18
41.71,12.04
23.98,16.11
20.68,19.41
70.39,13.78
71.39,11.1
78.15,16.46
83.3,16.15
8.25,27.52
40.74,18.23
58.03,10.29
49.63,13.14
32.67,12.62
52.19,14.75
49.24,11.74
51.41,16.83
75.16,16.0
13.98,26.58
7.39,29.98
32.07,11.08
54.94,13.5
36.09,17.33
72.54,13.5
10.15,29.19
69.64,17.72
58.39,10.24
15.11,22.87
30.38,19.35
69.79,18.06
90.5,24.96
87.86,24.86
17.03,24.38
53.7,10.88
64.59,10.31
49.12,15.72
10.43,25.53
62.16,11.67
81.18,16.98
42.0,11.9
74.97,17.87
63.29,13.75
89.25,24.52
59.55,11.67
37.41,14.11
71.79,12.46
41.06,10.04
8.39,26.35
18.02,19.93
89.18,18.01
58.55,12.16
38.44,14.2
32.49,13.14
36.11,12.17
53.0,13.22
7.84,28.35
71.2,12.82
99.01,28.62
7.14,27.85
25.1,18.32
53.78,9.42
79.01,16.78
61.65,14.56
69.44,12.36
69.9,20.47
90.02,23.77
69.99,11.09
15.86,21.6
30.1,15.84
74.27,16.52
44.16,10.04
60.69,13.98
96.23,26.22
10.24,29.62
94.71,26.39
62.3,11.2
22.47,17.26
85.63,20.65
51.33,14.15
27.69,18.52
97.15,29.38
66.26,13.72
60.43,12.7
29.62,16.64
11.86,26.94
89.72,23.32
56.69,11.17
15.17,23.6
99.51,29.19
31.45,17.01
86.07,20.0
81.9,22.44
58.6,15.73
73.76,18.22
94.32,28.09
16.26,22.18
25.09,17.88
73.84,13.8
28.77,15.79
18.02,23.45
64.83,13.63
24.86,17.12
81.56,20.35
57.08,13.58
25.53,18.24
61.36,13.86
26.9,19.08
55.81,9.68
70.72,13.54
74.27,15.93
28.43,17.33
94.93,25.78
25.95,22.8
50.72,12.32
58.65,10.77
67.63,17.14
88.0,22.61
17.4,19.46
37.97,15.42
34.7,14.08
60.24,12.18
36.03,17.72
37.82,13.45
93.03,24.24
55.08,11.75
32.29,18.45
34.72,15.37
39.62,13.4
37.07,16.7
11.91,27.16
5.67,31.12
56.45,13.45
60.82,10.92
65.59,17.45
62.07,16.69
54.06,11.41
65.03,14.95
53.06,14.21
25.94,15.11
41.1,11.49
18.3,26.93
45.47,13.03
10.59,26.44
36.86,11.36
16.14,22.82
18.85,21.48
40.22,14.69
91.58,26.47
19.95,21.01
15.83,22.37
74.68,14.77
63.68,14.38
63.46,11.2
38.16,14.76
9.89,30.65
55.56,11.24
58.04,10.41
72.35,15.26
59.81,10.17
19.74,21.84
58.85,11.44
45.63,15.44
44.11,14.68
62.87,10.48
11.56,26.39
57.62,13.24
54.67,12.04
55.05,11.47
74.46,14.36
54.83,13.88
40.91,12.6
37.25,11.72
79.07,16.41
12.01,23.69
40.94,9.92
47.43,14.25
92.12,23.85
9.54,25.15
34.4,13.28
73.82,13.52
74.52,13.63
38.69,15.72
81.45,22.48
21.18,18.89
76.23,18.88
62.95,14.65
37.87,16.79
23.06,19.1
20.4,22.08
20.38,20.17
26.26,19.14
12.18,25.45
67.45,12.94
16.2,23.25
80.05,19.18
36.25,16.93
62.98,17.39
32.48,18.33
59.55,12.27
31.01,15.97
41.81,10.64
58.19,10.2
27.9,17.06
44.21,14.29
10.17,27.1
76.61,15.97
62.66,10.84
83.58,16.93
66.64,17.3
85.66,16.88
73.55,14.24
90.48,22.0
41.78,8.78
28.75,19.06
72.72,13.91
65.7,14.1
74.58,16.34
20.64,22.33
35.46,15.11
61.23,13.39
34.05,14.85
32.66,16.09
61.17,15.27
70.55,11.34
50.68,12.19
11.05,26.1
82.58,17.4
64.03,11.84
28.78,18.66
93.8,24.15
9.48,25.2
7.57,32.33
24.25,15.55
12.13,27.22
62.87,14.45
53.05,12.21
89.54,20.47
40.62,13.07
14.33,23.68
40.87,17.43
86.88,20.01
19.84,21.23
98.99,30.42
62.55,14.4
59.57,11.07
96.69,30.48
49.48,12.9
71.2,13.44
33.06,18.07
83.62,22.65
95.29,28.37
75.57,20.74
48.93,13.6
15.0,25.15
10.53,25.84
43.31,14.05
31.04,19.52
66.59,11.91
14.61,25.55
7.92,29.47
60.77,12.49
68.74,15.3
10.99,25.95
55.99,13.74
25.05,20.54
21.07,20.31
26.16,21.55
91.86,23.04
21.1,21.57
76.91,15.18
15.98,22.83
58.76,14.28
76.06,14.48
43.59,16.78
83.67,17.81
27.18,15.68
41.79,10.85
58.71,12.22
88.17,20.91
53.68,15.85
53.58,14.83
71.22,11.11
78.6,18.66
89.03,23.35
6.71,30.9
75.68,17.39
93.37,27.14
95.63,27.88
83.96,20.14
33.24,18.18
11.97,28.14
85.27,18.95
33.85,15.87
50.56,13.12
5.97,31.13
25.15,16.76
51.05,11.48
89.6,20.83
60.59,11.92
84.54,21.73
42.82,13.4
84.78,18.21
56.27,14.82
39.75,16.09
89.2,21.86
11.33,24.72
53.9,13.11
35.86,18.12
18.33,20.2
74.19,16.29
40.47,14.22
76.43,17.16
78.03,15.57
41.51,17.56
85.33,18.48
67.89,17.12
97.12,28.12
94.97,26.18
40.42,11.99
44.52,10.23
72.54,14.42
99.59,34.48
90.85,26.21
69.91,15.28
94.34,24.61
14.45,24.67
90.13,23.18
65.65,12.78
54.99,16.16
81.68,19.58
83.89,21.21
96.94,29.0
98.68,27.64
93.99,24.76
28.07,18.75
66.41,9.14
62.26,15.32
87.8,22.52
17.55,25.26
21.19,19.4
40.71,12.82
66.01,11.99
80.18,18.0
17.92,21.4
45.57,16.32
21.68,19.77
5.51,32.27
29.94,19.78
56.62,11.79
36.29,15.79
99.4,28.99
96.45,28.17
67.83,14.11
55.94,12.49
50.43,10.05
21.94,21.2
78.07,13.94
48.97,10.33
99.12,27.52
64.76,13.23
84.93,22.36
31.76,17.46
56.66,12.08
42.04,13.18
28.45,14.6
23.21,20.3
42.29,13.21
88.09,22.78
14.0,27.2
28.13,17.66
90.7,18.48
66.03,15.47
10.89,26.94
46.79,15.09
51.96,9.6
14.45,23.87
86.23,21.57
57.06,13.63
35.16,17.29
55.96,7.45
18.5,24.72
9.29,27.79
91.78,27.54
17.96,24.11
48.95,11.49
53.31,14.43
95.9,25.01
59.02,12.81
78.19,16.64
94.52,27.11
38.19,12.76
6.31,29.86
7.6,27.63
44.35,12.87
83.65,22.44
62.96,13.88
